end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2019-06-30,6188000000,0001564590-19-037549,2020,Q1,10-Q,2019-10-23,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2019-06-30,6188000000,0001564590-20-002450,2020,Q2,10-Q,2020-01-29,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2019-06-30,6188000000,0001564590-20-019706,2020,Q3,10-Q,2020-04-29,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2019-06-30,6188000000,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2019Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2019-09-30,6659000000,0001564590-19-037549,2020,Q1,10-Q,2019-10-23,CY2019Q3I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2019-12-31,7172000000,0001564590-20-002450,2020,Q2,10-Q,2020-01-29,CY2019Q4I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2020-03-31,7248000000,0001564590-20-019706,2020,Q3,10-Q,2020-04-29,CY2020Q1I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2020-06-30,7671000000,0001564590-20-034944,2020,FY,10-K,2020-07-31,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2020-06-30,7671000000,0001564590-20-047996,2021,Q1,10-Q,2020-10-27,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2020-06-30,7671000000,0001564590-21-002316,2021,Q2,10-Q,2021-01-26,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2020-06-30,7671000000,0001564590-21-020891,2021,Q3,10-Q,2021-04-27,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2020-06-30,7671000000,0001564590-21-039151,2021,FY,10-K,2021-07-29,CY2020Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2020-09-30,7753000000,0001564590-20-047996,2021,Q1,10-Q,2020-10-27,CY2020Q3I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2020-12-31,8875000000,0001564590-21-002316,2021,Q2,10-Q,2021-01-26,CY2020Q4I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2021-03-31,9272000000,0001564590-21-020891,2021,Q3,10-Q,2021-04-27,CY2021Q1I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2021-06-30,9629000000,0001564590-21-039151,2021,FY,10-K,2021-07-29,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2021-06-30,9629000000,0001564590-21-051992,2022,Q1,10-Q,2021-10-26,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2021-06-30,9629000000,0001564590-22-002324,2022,Q2,10-Q,2022-01-25,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2021-06-30,9629000000,0001564590-22-015675,2022,Q3,10-Q,2022-04-26,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2021-06-30,9629000000,0001564590-22-026876,2022,FY,10-K,2022-07-28,CY2021Q2I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2021-09-30,10050000000,0001564590-21-051992,2022,Q1,10-Q,2021-10-26,CY2021Q3I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2021-12-31,10774000000,0001564590-22-002324,2022,Q2,10-Q,2022-01-25,CY2021Q4I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2022-03-31,11357000000,0001564590-22-015675,2022,Q3,10-Q,2022-04-26,CY2022Q1I,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
2022-06-30,11489000000,0001564590-22-026876,2022,FY,10-K,2022-07-28,,OperatingLeaseLiabilityNoncurrent,USD,MSFT,0000789019
