end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2013-12-31,153543000000,0001193125-14-018634,2014,Q2,10-Q,2014-01-23,CY2013Q4I,Assets,USD,MSFT,0000789019
2014-03-31,156119000000,0001193125-14-157088,2014,Q3,10-Q,2014-04-24,CY2014Q1I,Assets,USD,MSFT,0000789019
2014-06-30,172384000000,0001193125-14-289961,2014,FY,10-K,2014-07-31,,Assets,USD,MSFT,0000789019
2014-06-30,172384000000,0001193125-14-380252,2015,Q1,10-Q,2014-10-23,,Assets,USD,MSFT,0000789019
2014-06-30,172384000000,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,,Assets,USD,MSFT,0000789019
2014-06-30,172384000000,0001193125-15-144151,2015,Q3,10-Q,2015-04-23,,Assets,USD,MSFT,0000789019
2014-06-30,172384000000,0001193125-15-272806,2015,FY,10-K,2015-07-31,,Assets,USD,MSFT,0000789019
2014-06-30,172384000000,0001193125-15-353706,2015,FY,8-K,2015-10-27,CY2014Q2I,Assets,USD,MSFT,0000789019
2014-09-30,169656000000,0001193125-14-380252,2015,Q1,10-Q,2014-10-23,CY2014Q3I,Assets,USD,MSFT,0000789019
2014-12-31,174848000000,0001193125-15-020351,2015,Q2,10-Q,2015-01-26,CY2014Q4I,Assets,USD,MSFT,0000789019
2015-03-31,176683000000,0001193125-15-144151,2015,Q3,10-Q,2015-04-23,CY2015Q1I,Assets,USD,MSFT,0000789019
2015-06-30,176223000000,0001193125-15-272806,2015,FY,10-K,2015-07-31,,Assets,USD,MSFT,0000789019
2015-06-30,176223000000,0001193125-15-350718,2016,Q1,10-Q,2015-10-22,,Assets,USD,MSFT,0000789019
2015-06-30,176223000000,0001193125-15-353706,2015,FY,8-K,2015-10-27,,Assets,USD,MSFT,0000789019
2015-06-30,176223000000,0001193125-16-441821,2016,Q2,10-Q,2016-01-28,,Assets,USD,MSFT,0000789019
2015-06-30,176223000000,0001193125-16-550254,2016,Q3,10-Q,2016-04-21,,Assets,USD,MSFT,0000789019
2015-06-30,174472000000,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2015Q2I,Assets,USD,MSFT,0000789019
2015-09-30,172896000000,0001193125-15-350718,2016,Q1,10-Q,2015-10-22,CY2015Q3I,Assets,USD,MSFT,0000789019
2015-12-31,180098000000,0001193125-16-441821,2016,Q2,10-Q,2016-01-28,CY2015Q4I,Assets,USD,MSFT,0000789019
2016-03-31,181869000000,0001193125-16-550254,2016,Q3,10-Q,2016-04-21,CY2016Q1I,Assets,USD,MSFT,0000789019
2016-06-30,193694000000,0001193125-16-662209,2016,FY,10-K,2016-07-28,,Assets,USD,MSFT,0000789019
2016-06-30,193468000000,0001193125-16-742796,2017,Q1,10-Q,2016-10-20,,Assets,USD,MSFT,0000789019
2016-06-30,193468000000,0001564590-17-000654,2017,Q2,10-Q,2017-01-26,,Assets,USD,MSFT,0000789019
2016-06-30,193468000000,0001564590-17-007547,2017,Q3,10-Q,2017-04-27,,Assets,USD,MSFT,0000789019
2016-06-30,193468000000,0001564590-17-014900,2017,FY,10-K,2017-08-02,CY2016Q2I,Assets,USD,MSFT,0000789019
2016-09-30,212524000000,0001193125-16-742796,2017,Q1,10-Q,2016-10-20,CY2016Q3I,Assets,USD,MSFT,0000789019
2016-12-31,224610000000,0001564590-17-000654,2017,Q2,10-Q,2017-01-26,CY2016Q4I,Assets,USD,MSFT,0000789019
2017-03-31,225017000000,0001564590-17-007547,2017,Q3,10-Q,2017-04-27,CY2017Q1I,Assets,USD,MSFT,0000789019
