Ticker,Sector,roce,roic,po,divgr,divyield,shares,debt,rev,ni,fcf,fcfm,cf,bv,equity,score
UHS,V,4,3,5,2,-5,5,3,3,4,5,3,5,5,3,239
DHR,V,3,3,5,5,-5,4,5,4,4,2,3,4,4,4,237
BDX,V,3,3,3,3,-1,4,5,2,3,3,3,3,3,2,211
PII,Y,5,5,4,2,1,5,5,4,5,5,4,5,5,4,300
THO,Y,4,4,5,3,-1,5,5,5,5,5,3,5,5,5,295
MED,Y,5,5,3,5,3,5,5,4,5,5,2,2,5,4,295
KRT,Y,4,5,4,5,-5,4,5,5,5,5,4,5,4,5,283
WGO,Y,4,4,5,3,-1,4,3,5,4,5,3,5,5,5,276
ROST,Y,5,5,5,5,-5,5,4,4,5,4,4,3,5,3,265
LEA,Y,4,5,5,5,-5,5,5,4,5,4,2,5,4,3,262
CASY,Y,4,3,5,3,-1,4,3,3,5,5,2,5,5,5,261
BC,Y,4,3,5,4,-1,5,5,3,3,3,3,5,5,4,260
ASO,Y,5,4,5,5,-5,4,5,3,3,4,3,2,5,5,246
MNRO,Y,3,3,5,4,-1,4,5,3,4,4,2,3,4,4,243
CRWS,Y,3,4,3,3,3,4,5,3,2,2,3,5,4,3,243
GRBK,Y,4,3,2,2,-5,4,5,5,3,5,2,5,5,5,231
SON,Y,3,3,3,2,3,4,3,2,2,3,4,5,3,2,220
