Ticker,Company Name,CIK,Sector,Industry
EPSN,Epsilon Energy Ltd.,0001726126,Energy,Oil & Gas E&P
BATL,BATTALION OIL CORP,0001282648,Energy,Oil & Gas E&P
CRT,CROSS TIMBERS ROYALTY TRUST,0000881787,Energy,Oil & Gas E&P
MMLP,MARTIN MIDSTREAM PARTNERS L.P.,0001176334,Energy,Oil & Gas Midstream
FTK,FLOTEK INDUSTRIES INC/CN/,0000928054,Energy,Oil & Gas Equipment & Services
DTI,Drilling Tools International Corp,0001884516,Energy,Oil & Gas Equipment & Services
SLNG,"Stabilis Solutions, Inc.",0001043186,Energy,Oil & Gas Integrated
NINE,"Nine Energy Service, Inc.",0001532286,Energy,Oil & Gas Equipment & Services
SND,"Smart Sand, Inc.",0001529628,Energy,Oil & Gas Equipment & Services
IMPP,Imperial Petroleum Inc./Marshall Islands,0001876581,Energy,Oil & Gas Midstream
BDCO,BLUE DOLPHIN ENERGY CO,0000793306,Energy,Oil & Gas Refining & Marketing
WSTRF,Western Uranium & Vanadium Corp.,0001621906,Energy,Uranium
PFIE,PROFIRE ENERGY INC,0001289636,Energy,Oil & Gas Equipment & Services
ANLDF,ANFIELD ENERGY INC.,0001519469,Energy,Uranium
MPIR,Empire Diversified Energy Inc,0000815577,Energy,Oil & Gas Midstream
PED,PEDEVCO CORP,0001141197,Energy,Oil & Gas E&P
AE,"ADAMS RESOURCES & ENERGY, INC.",0000002178,Energy,Oil & Gas Refining & Marketing
WTRV,White River Energy Corp.,0001589361,Energy,Oil & Gas E&P
BPT,BP PRUDHOE BAY ROYALTY TRUST,0000850033,Energy,Oil & Gas Midstream
PRT,PermRock Royalty Trust,0001724009,Energy,Oil & Gas E&P
PVL,Permianville Royalty Trust,0001520048,Energy,Oil & Gas E&P
DWSN,DAWSON GEOPHYSICAL CO,0000799165,Energy,Oil & Gas Equipment & Services
PXS,Pyxis Tankers Inc.,0001640043,Energy,Oil & Gas Midstream
NRT,NORTH EUROPEAN OIL ROYALTY TRUST,0000072633,Energy,Oil & Gas E&P
SMGI,SMG Industries Inc.,0001426506,Energy,Oil & Gas Equipment & Services
NCSM,"NCS Multistage Holdings, Inc.",0001692427,Energy,Oil & Gas Equipment & Services
ZNOG,ZION OIL & GAS INC,0001131312,Energy,Oil & Gas E&P
BANL,CBL International Ltd,0001914805,Energy,Oil & Gas Midstream
CHKR,CHESAPEAKE GRANITE WASH TRUST,0001524769,Energy,Oil & Gas E&P
CWPE,CW Petroleum Corp,0001741220,Energy,Oil & Gas Midstream
ICD,"Independence Contract Drilling, Inc.",0001537028,Energy,Oil & Gas Drilling
RSRV,RESERVE PETROLEUM CO,0000083350,Energy,Oil & Gas E&P
QSEP,"QS Energy, Inc.",0001103795,Energy,Oil & Gas Equipment & Services
CKX,"CKX LANDS, INC.",0000352955,Energy,Oil & Gas E&P
INDO,Indonesia Energy Corp Ltd,0001757840,Energy,Oil & Gas E&P
USEG,US ENERGY CORP,0000101594,Energy,Oil & Gas E&P
BRN,BARNWELL INDUSTRIES INC,0000010048,Energy,Oil & Gas E&P
VIVK,"Vivakor, Inc.",0001450704,Energy,Oil & Gas E&P
RCON,"Recon Technology, Ltd",0001442620,Energy,Oil & Gas Equipment & Services
SDPI,"Superior Drilling Products, Inc.",0001600422,Energy,Oil & Gas Equipment & Services
HGTXU,HUGOTON ROYALTY TRUST,0000862022,Energy,Oil & Gas E&P
