start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,CIK,Ticker,Company Name
2010-01-01,2010-03-31,0.46,0001193125-10-171791,2010,FY,10-K,2010-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-01-01,2010-03-31,0.46,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q1,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2009-07-01,2010-06-30,2.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2009-07-01,2010-06-30,2.13,0001193125-11-200680,2011,FY,10-K,2011-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2009-07-01,2010-06-30,2.13,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-04-01,2010-06-30,0.52,0001193125-10-171791,2010,FY,10-K,2010-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-04-01,2010-06-30,0.52,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q2,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-07-01,2010-09-30,0.63,0001193125-11-200680,2011,FY,10-K,2011-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-07-01,2010-09-30,0.63,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010Q3,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-10-01,2010-12-31,0.78,0001193125-11-200680,2011,FY,10-K,2011-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-10-01,2010-12-31,0.78,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010Q4,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2011-01-01,2011-03-31,0.62,0001193125-11-200680,2011,FY,10-K,2011-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2011-01-01,2011-03-31,0.62,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2011Q1,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-07-01,2011-06-30,2.73,0001193125-11-200680,2011,FY,10-K,2011-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-07-01,2011-06-30,2.73,0001193125-12-316848,2012,FY,10-K,2012-07-26,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-07-01,2011-06-30,2.73,0001193125-13-310206,2013,FY,10-K,2013-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2011-04-01,2011-06-30,0.7,0001193125-11-200680,2011,FY,10-K,2011-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2011-04-01,2011-06-30,0.7,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2011Q2,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2011-07-01,2011-09-30,0.68,0001193125-12-316848,2012,FY,10-K,2012-07-26,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2011-07-01,2011-09-30,0.68,0001193125-13-310206,2013,FY,10-K,2013-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2011-10-01,2011-12-31,0.79,0001193125-12-316848,2012,FY,10-K,2012-07-26,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2011-10-01,2011-12-31,0.79,0001193125-13-310206,2013,FY,10-K,2013-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2012-01-01,2012-03-31,0.61,0001193125-12-316848,2012,FY,10-K,2012-07-26,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2012-01-01,2012-03-31,0.61,0001193125-13-310206,2013,FY,10-K,2013-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2011-07-01,2012-06-30,2.02,0001193125-12-316848,2012,FY,10-K,2012-07-26,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2011-07-01,2012-06-30,2.02,0001193125-13-310206,2013,FY,10-K,2013-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2011-07-01,2012-06-30,2.02,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2012,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2012-04-01,2012-06-30,-0.06,0001193125-12-316848,2012,FY,10-K,2012-07-26,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2012-04-01,2012-06-30,-0.06,0001193125-13-310206,2013,FY,10-K,2013-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2012-07-01,2012-09-30,0.53,0001193125-13-310206,2013,FY,10-K,2013-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2012-07-01,2012-09-30,0.53,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2012Q3,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2012-10-01,2012-12-31,0.76,0001193125-13-310206,2013,FY,10-K,2013-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2012-10-01,2012-12-31,0.76,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2012Q4,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2013-01-01,2013-03-31,0.72,0001193125-13-310206,2013,FY,10-K,2013-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2013-01-01,2013-03-31,0.72,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2013Q1,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2012-07-01,2013-06-30,2.61,0001193125-13-310206,2013,FY,10-K,2013-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2012-07-01,2013-06-30,2.61,0001193125-14-289961,2014,FY,10-K,2014-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2012-07-01,2013-06-30,2.61,0001193125-15-272806,2015,FY,10-K,2015-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2013-04-01,2013-06-30,0.59,0001193125-13-310206,2013,FY,10-K,2013-07-30,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2013-04-01,2013-06-30,0.59,0001193125-14-289961,2014,FY,10-K,2014-07-31,CY2013Q2,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2013-07-01,2013-09-30,0.63,0001193125-14-289961,2014,FY,10-K,2014-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2013-07-01,2013-09-30,0.63,0001193125-15-272806,2015,FY,10-K,2015-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2013-10-01,2013-12-31,0.79,0001193125-14-289961,2014,FY,10-K,2014-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2013-10-01,2013-12-31,0.79,0001193125-15-272806,2015,FY,10-K,2015-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2014-01-01,2014-03-31,0.68,0001193125-14-289961,2014,FY,10-K,2014-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2014-01-01,2014-03-31,0.68,0001193125-15-272806,2015,FY,10-K,2015-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2013-07-01,2014-06-30,2.66,0001193125-14-289961,2014,FY,10-K,2014-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2013-07-01,2014-06-30,2.66,0001193125-15-272806,2015,FY,10-K,2015-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2013-07-01,2014-06-30,2.66,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2014,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2014-04-01,2014-06-30,0.56,0001193125-14-289961,2014,FY,10-K,2014-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2014-04-01,2014-06-30,0.56,0001193125-15-272806,2015,FY,10-K,2015-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2014-07-01,2014-09-30,0.55,0001193125-15-272806,2015,FY,10-K,2015-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2014-07-01,2014-09-30,0.55,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2014Q3,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2014-10-01,2014-12-31,0.71,0001193125-15-272806,2015,FY,10-K,2015-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2014-10-01,2014-12-31,0.71,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2014Q4,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2015-01-01,2015-03-31,0.61,0001193125-15-272806,2015,FY,10-K,2015-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2015-01-01,2015-03-31,0.61,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2015Q1,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2014-07-01,2015-06-30,1.49,0001193125-15-272806,2015,FY,10-K,2015-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2014-07-01,2015-06-30,1.49,0001193125-16-662209,2016,FY,10-K,2016-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2014-07-01,2015-06-30,1.49,0001564590-17-014900,2017,FY,10-K,2017-08-02,CY2015,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2015-04-01,2015-06-30,-0.4,0001193125-15-272806,2015,FY,10-K,2015-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2015-04-01,2015-06-30,-0.4,0001193125-16-662209,2016,FY,10-K,2016-07-28,CY2015Q2,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2015-07-01,2015-09-30,0.61,0001193125-16-662209,2016,FY,10-K,2016-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2015-07-01,2015-09-30,0.61,0001564590-17-014900,2017,FY,10-K,2017-08-02,CY2015Q3,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2015-10-01,2015-12-31,0.63,0001193125-16-662209,2016,FY,10-K,2016-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2015-10-01,2015-12-31,0.63,0001564590-17-014900,2017,FY,10-K,2017-08-02,CY2015Q4,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2016-01-01,2016-03-31,0.48,0001193125-16-662209,2016,FY,10-K,2016-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2016-01-01,2016-03-31,0.48,0001564590-17-014900,2017,FY,10-K,2017-08-02,CY2016Q1,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2015-07-01,2016-06-30,2.12,0001193125-16-662209,2016,FY,10-K,2016-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2015-07-01,2016-06-30,2.12,0001564590-17-014900,2017,FY,10-K,2017-08-02,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2015-07-01,2016-06-30,2.59,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2016,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2016-04-01,2016-06-30,0.4,0001193125-16-662209,2016,FY,10-K,2016-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2016-04-01,2016-06-30,0.4,0001564590-17-014900,2017,FY,10-K,2017-08-02,CY2016Q2,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2016-07-01,2016-09-30,0.6,0001564590-17-014900,2017,FY,10-K,2017-08-02,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2016-07-02,2016-09-30,0.73,0001564590-18-019062,2018,FY,10-K,2018-08-03,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2016-10-01,2016-12-31,0.67,0001564590-17-014900,2017,FY,10-K,2017-08-02,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2016-10-01,2016-12-31,0.81,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2016Q4,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2017-01-01,2017-03-31,0.62,0001564590-17-014900,2017,FY,10-K,2017-08-02,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2017-01-01,2017-03-31,0.71,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2017Q1,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2016-07-01,2017-06-30,2.74,0001564590-17-014900,2017,FY,10-K,2017-08-02,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2016-07-01,2017-06-30,3.29,0001564590-18-019062,2018,FY,10-K,2018-08-03,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2016-07-01,2017-06-30,3.29,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2017,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2017-04-01,2017-06-30,0.84,0001564590-17-014900,2017,FY,10-K,2017-08-02,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2017-04-01,2017-06-30,1.05,0001564590-18-019062,2018,FY,10-K,2018-08-03,CY2017Q2,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2017-07-01,2017-09-30,0.85,0001564590-18-019062,2018,FY,10-K,2018-08-03,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2017-07-01,2017-09-30,0.85,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2017Q3,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2017-10-01,2017-12-31,-0.82,0001564590-18-019062,2018,FY,10-K,2018-08-03,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2017-10-01,2017-12-31,-0.82,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2017Q4,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2018-01-01,2018-03-31,0.96,0001564590-18-019062,2018,FY,10-K,2018-08-03,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2018-01-01,2018-03-31,0.96,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2018Q1,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2017-07-01,2018-06-30,2.15,0001564590-18-019062,2018,FY,10-K,2018-08-03,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2017-07-01,2018-06-30,2.15,0001564590-19-027952,2019,FY,10-K,2019-08-01,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2017-07-01,2018-06-30,2.15,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2018,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2018-04-01,2018-06-30,1.15,0001564590-18-019062,2018,FY,10-K,2018-08-03,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2018-04-01,2018-06-30,1.15,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2018Q2,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2018-07-01,2018-09-30,1.15,0001564590-19-027952,2019,FY,10-K,2019-08-01,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2018-07-01,2018-09-30,1.15,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2018Q3,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2018-10-01,2018-12-31,1.09,0001564590-19-027952,2019,FY,10-K,2019-08-01,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2018-10-01,2018-12-31,1.09,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2018Q4,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2019-01-01,2019-03-31,1.15,0001564590-19-027952,2019,FY,10-K,2019-08-01,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2019-01-01,2019-03-31,1.15,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2019Q1,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2018-07-01,2019-06-30,5.11,0001564590-19-027952,2019,FY,10-K,2019-08-01,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2018-07-01,2019-06-30,5.11,0001564590-20-034944,2020,FY,10-K,2020-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2018-07-01,2019-06-30,5.11,0001564590-21-039151,2021,FY,10-K,2021-07-29,CY2019,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2019-04-01,2019-06-30,1.72,0001564590-19-027952,2019,FY,10-K,2019-08-01,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2019-04-01,2019-06-30,1.72,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2019Q2,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2019-07-01,2019-09-30,1.4,0001564590-20-034944,2020,FY,10-K,2020-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2019-10-01,2019-12-31,1.53,0001564590-20-034944,2020,FY,10-K,2020-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2020-01-01,2020-03-31,1.41,0001564590-20-034944,2020,FY,10-K,2020-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2019-07-01,2020-06-30,5.82,0001564590-20-034944,2020,FY,10-K,2020-07-31,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2019-07-01,2020-06-30,5.82,0001564590-21-039151,2021,FY,10-K,2021-07-29,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2019-07-01,2020-06-30,5.82,0001564590-22-026876,2022,FY,10-K,2022-07-28,CY2020,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2020-04-01,2020-06-30,1.48,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2020Q2,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2020-07-01,2021-06-30,8.12,0001564590-21-039151,2021,FY,10-K,2021-07-29,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2020-07-01,2021-06-30,8.12,0001564590-22-026876,2022,FY,10-K,2022-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2020-07-01,2021-06-30,8.12,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2021,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2021-07-01,2022-06-30,9.7,0001564590-22-026876,2022,FY,10-K,2022-07-28,,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2021-07-01,2022-06-30,9.7,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2022,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2022-07-01,2023-06-30,9.72,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2023,EarningsPerShareBasic,USD/shares,0000789019,MSFT,MICROSOFT CORP
2007-07-01,2008-06-30,0.44,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2008-07-01,2008-09-30,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q3,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2008-10-01,2008-12-31,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2008Q4,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2009-01-01,2009-03-31,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q1,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2008-07-01,2009-06-30,0.52,0001193125-10-171791,2010,FY,10-K,2010-07-30,,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2008-07-01,2009-06-30,0.52,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2009-04-01,2009-06-30,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,CY2009Q2,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2009-07-01,2009-09-30,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2009-07-01,2009-09-30,0.13,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009Q3,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2009-10-01,2009-12-31,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2009-10-01,2009-12-31,0.13,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2009Q4,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-01-01,2010-03-31,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-01-01,2010-03-31,0.13,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q1,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2009-07-01,2010-06-30,0.52,0001193125-10-171791,2010,FY,10-K,2010-07-30,,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2009-07-01,2010-06-30,0.52,0001193125-11-200680,2011,FY,10-K,2011-07-28,,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2009-07-01,2010-06-30,0.52,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-04-01,2010-06-30,0.13,0001193125-10-171791,2010,FY,10-K,2010-07-30,,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-04-01,2010-06-30,0.13,0001193125-11-200680,2011,FY,10-K,2011-07-28,CY2010Q2,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-07-01,2010-09-30,0.16,0001193125-11-200680,2011,FY,10-K,2011-07-28,,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-07-01,2010-09-30,0.16,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010Q3,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-10-01,2010-12-31,0.16,0001193125-11-200680,2011,FY,10-K,2011-07-28,,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2010-10-01,2010-12-31,0.16,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010Q4,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
2011-01-01,2011-03-31,0.16,0001193125-11-200680,2011,FY,10-K,2011-07-28,,CommonStockDividendsPerShareDeclared,USD/shares,0000789019,MSFT,MICROSOFT CORP
