Ticker,Company Name,CIK,Sector,Industry
FAMI,"Farmmi, Inc.",0001701261,Consumer Defensive,Packaged Foods
INKW,"Greene Concepts, Inc",0001585380,Consumer Defensive,Beverages—Non-Alcoholic
INBP,INTEGRATED BIOPHARMA INC,0001016504,Consumer Defensive,Packaged Foods
LEAI,"Legacy Education Alliance, Inc.",0001561880,Consumer Defensive,Education & Training Services
BON,Bon Natural Life Ltd,0001816815,Consumer Defensive,Packaged Foods
XXII,"22nd Century Group, Inc.",0001347858,Consumer Defensive,Tobacco
JVA,COFFEE HOLDING CO INC,0001007019,Consumer Defensive,Packaged Foods
BOF,BranchOut Food Inc.,0001962481,Consumer Defensive,Packaged Foods
BTCT,BTC Digital Ltd.,0001796514,Consumer Defensive,Education & Training Services
BTTR,Better Choice Co Inc.,0001471727,Consumer Defensive,Packaged Foods
SNBH,SENTIENT BRANDS HOLDINGS INC.,0001358633,Consumer Defensive,Household & Personal Products
BABB,"BAB, INC.",0001123596,Consumer Defensive,Packaged Foods
RMHB,"Rocky Mountain High Brands, Inc.",0001670869,Consumer Defensive,Beverages—Non-Alcoholic
CYAN,CYANOTECH CORP,0000768408,Consumer Defensive,Packaged Foods
SNAX,"STRYVE FOODS, INC.",0001691936,Consumer Defensive,Packaged Foods
TOFB,TOFUTTI BRANDS INC,0000730349,Consumer Defensive,Packaged Foods
AMBO,Ambow Education Holding Ltd.,0001494558,Consumer Defensive,Education & Training Services
WTER,ALKALINE WATER Co INC,0001532390,Consumer Defensive,Beverages—Non-Alcoholic
CBDW,1606 CORP.,0001877461,Consumer Defensive,Tobacco
RVIV,Reviv3 Procare Co,0001718500,Consumer Defensive,Household & Personal Products
TANH,TANTECH HOLDINGS LTD,0001588084,Consumer Defensive,Household & Personal Products
EDBL,Edible Garden AG Inc,0001809750,Consumer Defensive,Farm Products
RKDA,"Arcadia Biosciences, Inc.",0001469443,Consumer Defensive,Packaged Foods
TLCC,"TWINLAB CONSOLIDATED HOLDINGS, INC.",0001590695,Consumer Defensive,Packaged Foods
BSFC,Blue Star Foods Corp.,0001730773,Consumer Defensive,Packaged Foods
NUZE,"NuZee, Inc.",0001527613,Consumer Defensive,Packaged Foods
YCRM,Yuenglings Ice Cream Corp,0001624517,Consumer Defensive,Packaged Foods
NGTF,"NightFood Holdings, Inc.",0001593001,Consumer Defensive,Packaged Foods
EAST,"Eastside Distilling, Inc.",0001534708,Consumer Defensive,Beverages—Wineries & Distilleries
SRSG,"SPIRITS TIME INTERNATIONAL, INC.",0001434737,Consumer Defensive,Beverages—Wineries & Distilleries
HIRU,HIRU Corp,0000925779,Consumer Defensive,Beverages—Non-Alcoholic
GNLN,"Greenlane Holdings, Inc.",0001743745,Consumer Defensive,Tobacco
FHSEY,"First High-School Education Group Co., Ltd.",0001786182,Consumer Defensive,Education & Training Services
AGRI,AGRIFORCE GROWING SYSTEMS LTD.,0001826397,Consumer Defensive,Farm Products
NBND,NetBrands Corp.,0001725911,Consumer Defensive,Packaged Foods
GRLF,GREEN LEAF INNOVATIONS INC,0000915661,Consumer Defensive,Tobacco
RIBT,RiceBran Technologies,0001063537,Consumer Defensive,Packaged Foods
SHRG,SHARING SERVICES GLOBAL Corp,0001644488,Consumer Defensive,Packaged Foods
VGFCQ,Very Good Food Co Inc.,0001878835,Consumer Defensive,Packaged Foods
SMFL,"SMART FOR LIFE, INC.",0001851860,Consumer Defensive,Packaged Foods
NAFS,"North America Frac Sand, Inc.",0001409253,Consumer Defensive,Packaged Foods
RTON,"Right On Brands, Inc.",0001580262,Consumer Defensive,Packaged Foods
BDPT,"BIOADAPTIVES, INC.",0001575142,Consumer Defensive,Packaged Foods
ARRT,"Artisan Consumer Goods, Inc.",0001530425,Consumer Defensive,Packaged Foods
SKVI,"SKINVISIBLE, INC.",0001085277,Consumer Defensive,Household & Personal Products
MFLTY,Missfresh Ltd,0001851682,Consumer Defensive,Grocery Stores
ASII,"Accredited Solutions, Inc.",0001464865,Consumer Defensive,Beverages—Non-Alcoholic
NUVI,Emo Capital Corp.,0001410708,Consumer Defensive,Household & Personal Products
LBWR,Labwire Inc,0001426567,Consumer Defensive,Discount Stores
OGAA,Organic Agricultural Co Ltd,0001749849,Consumer Defensive,Farm Products
PDPG,"Performance Drink Group, Inc.",0001902930,Consumer Defensive,Beverages—Non-Alcoholic
EARI,"ENTERTAINMENT ARTS RESEARCH, INC.",0001083468,Consumer Defensive,Beverages—Brewers
IFMK,iFresh Inc,0001681941,Consumer Defensive,Grocery Stores
TTCFQ,"Tattooed Chef, Inc.",0001741231,Consumer Defensive,Packaged Foods
BMXC,"Bemax, Inc.",0001613895,Consumer Defensive,Household & Personal Products
TDNT,Trident Brands Inc,0001421907,Consumer Defensive,Packaged Foods
PCNT,"Point of Care Nano-Technology, Inc.",0001504239,Consumer Defensive,Packaged Foods
TUEMQ,TUESDAY MORNING CORP/DE,0000878726,Consumer Defensive,Discount Stores
PACV,"Pacific Ventures Group, Inc.",0000882800,Consumer Defensive,Food Distribution
UPDC,UPD HOLDING CORP.,0000836937,Consumer Defensive,Packaged Foods
ICNB,"Iconic Brands, Inc.",0001350073,Consumer Defensive,Beverages—Wineries & Distilleries
RAYT,RAYONT INC.,0001539778,Consumer Defensive,Packaged Foods
TBBB,BBB FOODS INC,0001978954,Consumer Defensive,Discount Stores
