end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2018-06-30,3998000000,0001564590-19-012709,2019,Q3,10-Q,2019-04-24,,LongTermDebtCurrent,USD,MSFT,0000789019
2018-06-30,3998000000,0001564590-19-027952,2019,FY,10-K,2019-08-01,CY2018Q2I,LongTermDebtCurrent,USD,MSFT,0000789019
2018-09-30,6497000000,0001564590-18-024893,2019,Q1,10-Q,2018-10-24,CY2018Q3I,LongTermDebtCurrent,USD,MSFT,0000789019
2018-12-31,3516000000,0001564590-19-001392,2019,Q2,10-Q,2019-01-30,CY2018Q4I,LongTermDebtCurrent,USD,MSFT,0000789019
2019-03-31,6515000000,0001564590-19-012709,2019,Q3,10-Q,2019-04-24,CY2019Q1I,LongTermDebtCurrent,USD,MSFT,0000789019
2019-06-30,5516000000,0001564590-19-027952,2019,FY,10-K,2019-08-01,,LongTermDebtCurrent,USD,MSFT,0000789019
2019-06-30,5516000000,0001564590-19-037549,2020,Q1,10-Q,2019-10-23,,LongTermDebtCurrent,USD,MSFT,0000789019
2019-06-30,5516000000,0001564590-20-002450,2020,Q2,10-Q,2020-01-29,,LongTermDebtCurrent,USD,MSFT,0000789019
2019-06-30,5516000000,0001564590-20-019706,2020,Q3,10-Q,2020-04-29,,LongTermDebtCurrent,USD,MSFT,0000789019
2019-06-30,5516000000,0001564590-20-034944,2020,FY,10-K,2020-07-31,CY2019Q2I,LongTermDebtCurrent,USD,MSFT,0000789019
2019-09-30,3017000000,0001564590-19-037549,2020,Q1,10-Q,2019-10-23,CY2019Q3I,LongTermDebtCurrent,USD,MSFT,0000789019
2019-12-31,6247000000,0001564590-20-002450,2020,Q2,10-Q,2020-01-29,CY2019Q4I,LongTermDebtCurrent,USD,MSFT,0000789019
2020-03-31,3748000000,0001564590-20-019706,2020,Q3,10-Q,2020-04-29,CY2020Q1I,LongTermDebtCurrent,USD,MSFT,0000789019
2020-06-30,3749000000,0001564590-20-034944,2020,FY,10-K,2020-07-31,,LongTermDebtCurrent,USD,MSFT,0000789019
2020-06-30,3749000000,0001564590-20-047996,2021,Q1,10-Q,2020-10-27,,LongTermDebtCurrent,USD,MSFT,0000789019
2020-06-30,3749000000,0001564590-21-002316,2021,Q2,10-Q,2021-01-26,,LongTermDebtCurrent,USD,MSFT,0000789019
2020-06-30,3749000000,0001564590-21-020891,2021,Q3,10-Q,2021-04-27,,LongTermDebtCurrent,USD,MSFT,0000789019
2020-06-30,3749000000,0001564590-21-039151,2021,FY,10-K,2021-07-29,CY2020Q2I,LongTermDebtCurrent,USD,MSFT,0000789019
2020-09-30,6497000000,0001564590-20-047996,2021,Q1,10-Q,2020-10-27,CY2020Q3I,LongTermDebtCurrent,USD,MSFT,0000789019
2020-12-31,5387000000,0001564590-21-002316,2021,Q2,10-Q,2021-01-26,CY2020Q4I,LongTermDebtCurrent,USD,MSFT,0000789019
2021-03-31,8051000000,0001564590-21-020891,2021,Q3,10-Q,2021-04-27,CY2021Q1I,LongTermDebtCurrent,USD,MSFT,0000789019
2021-06-30,8072000000,0001564590-21-039151,2021,FY,10-K,2021-07-29,,LongTermDebtCurrent,USD,MSFT,0000789019
2021-06-30,8072000000,0001564590-21-051992,2022,Q1,10-Q,2021-10-26,,LongTermDebtCurrent,USD,MSFT,0000789019
2021-06-30,8072000000,0001564590-22-002324,2022,Q2,10-Q,2022-01-25,,LongTermDebtCurrent,USD,MSFT,0000789019
2021-06-30,8072000000,0001564590-22-015675,2022,Q3,10-Q,2022-04-26,,LongTermDebtCurrent,USD,MSFT,0000789019
2021-06-30,8072000000,0001564590-22-026876,2022,FY,10-K,2022-07-28,CY2021Q2I,LongTermDebtCurrent,USD,MSFT,0000789019
2021-09-30,3249000000,0001564590-21-051992,2022,Q1,10-Q,2021-10-26,CY2021Q3I,LongTermDebtCurrent,USD,MSFT,0000789019
2021-12-31,4998000000,0001564590-22-002324,2022,Q2,10-Q,2022-01-25,CY2021Q4I,LongTermDebtCurrent,USD,MSFT,0000789019
2022-03-31,1749000000,0001564590-22-015675,2022,Q3,10-Q,2022-04-26,CY2022Q1I,LongTermDebtCurrent,USD,MSFT,0000789019
2022-06-30,2749000000,0001564590-22-026876,2022,FY,10-K,2022-07-28,,LongTermDebtCurrent,USD,MSFT,0000789019
2022-06-30,2749000000,0001564590-22-035087,2023,Q1,10-Q,2022-10-25,,LongTermDebtCurrent,USD,MSFT,0000789019
2022-06-30,2749000000,0001564590-23-000733,2023,Q2,10-Q,2023-01-24,,LongTermDebtCurrent,USD,MSFT,0000789019
2022-06-30,2749000000,0000950170-23-014423,2023,Q3,10-Q,2023-04-25,,LongTermDebtCurrent,USD,MSFT,0000789019
2022-06-30,2749000000,0000950170-23-035122,2023,FY,10-K,2023-07-27,CY2022Q2I,LongTermDebtCurrent,USD,MSFT,0000789019
2022-09-30,3248000000,0001564590-22-035087,2023,Q1,10-Q,2022-10-25,CY2022Q3I,LongTermDebtCurrent,USD,MSFT,0000789019
2022-12-31,3997000000,0001564590-23-000733,2023,Q2,10-Q,2023-01-24,CY2022Q4I,LongTermDebtCurrent,USD,MSFT,0000789019
2023-03-31,6245000000,0000950170-23-014423,2023,Q3,10-Q,2023-04-25,CY2023Q1I,LongTermDebtCurrent,USD,MSFT,0000789019
2023-06-30,5247000000,0000950170-23-035122,2023,FY,10-K,2023-07-27,,LongTermDebtCurrent,USD,MSFT,0000789019
2023-06-30,5247000000,0000950170-23-054855,2024,Q1,10-Q,2023-10-24,,LongTermDebtCurrent,USD,MSFT,0000789019
2023-06-30,5247000000,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q2I,LongTermDebtCurrent,USD,MSFT,0000789019
2023-09-30,3748000000,0000950170-23-054855,2024,Q1,10-Q,2023-10-24,CY2023Q3I,LongTermDebtCurrent,USD,MSFT,0000789019
2023-12-31,2250000000,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I,LongTermDebtCurrent,USD,MSFT,0000789019
