start,end,val,accn,fy,fp,form,filed,frame,Tag,Units,Ticker,CIK
2009-07-01,2010-03-31,8846000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-01-01,2010-03-31,8767000000,0001193125-10-090116,2010,Q3,10-Q,2010-04-22,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-01-01,2010-03-31,8767000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,CY2010Q1,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2009-07-01,2010-06-30,8813000000,0001193125-10-171791,2010,FY,10-K,2010-07-30,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2009-07-01,2010-06-30,8813000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2009-07-01,2010-06-30,8813000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,CY2010,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-07-01,2010-09-30,8614000000,0001193125-10-239825,2011,Q1,10-Q,2010-10-28,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-07-01,2010-09-30,8614000000,0001193125-11-276022,2012,Q1,10-Q,2011-10-20,CY2010Q3,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-07-01,2010-12-31,8555000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-07-01,2010-12-31,8555000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-10-01,2010-12-31,8497000000,0001193125-11-015947,2011,Q2,10-Q,2011-01-27,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-10-01,2010-12-31,8497000000,0001193125-12-026864,2012,Q2,10-Q/A,2012-01-27,CY2010Q4,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-07-01,2011-03-31,8511000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-07-01,2011-03-31,8511000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2011-01-01,2011-03-31,8420000000,0001193125-11-115186,2011,Q3,10-Q,2011-04-28,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2011-01-01,2011-03-31,8420000000,0001193125-12-170665,2012,Q3,10-Q,2012-04-19,CY2011Q1,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-07-01,2011-06-30,8490000000,0001193125-11-200680,2011,FY,10-K,2011-07-28,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-07-01,2011-06-30,8490000000,0001193125-12-316848,2012,FY,10-K,2012-07-26,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-07-01,2011-06-30,8490000000,0001193125-13-310206,2013,FY,10-K,2013-07-30,,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
2010-07-01,2011-06-30,8490000000,0001193125-13-455144,2013,FY,8-K,2013-11-26,CY2011,WeightedAverageNumberOfSharesOutstandingBasic,shares,MSFT,0000789019
